quarter,syn_deals_total,syn_deals_term,syn_deals_commit,syn_amount_total,syn_amount_term,syn_amount_commit,syn_outstanding_total,syn_outstanding_term,syn_outstanding_commit,perf_n_total,perf_n_sale,perf_n_trust,perf_n_participation,perf_amt_total,perf_amt_sale,perf_amt_trust,perf_amt_participation,nperf_n_total,nperf_n_sale,nperf_n_trust,nperf_n_participation,nperf_amt_total,nperf_amt_sale,nperf_amt_trust,nperf_amt_participation,syn_deals_term_listed,syn_deals_term_private,syn_deals_commit_listed,syn_deals_commit_private,syn_amt_term_listed,syn_amt_term_private,syn_amt_commit_listed,syn_amt_commit_private,syn_out_term_listed,syn_out_term_private,syn_out_commit_listed,syn_out_commit_private,perf_n_to_fi,perf_n_to_spc,perf_amt_to_fi,perf_amt_to_spc,date,year,qnum,t,share_term,share_commit,share_private,share_listed,trans_n_total,trans_amt_total,perf_spc_share,syn_avg_size,perf_avg_size,ln_syn_deals_total,ln_syn_deals_term,ln_syn_deals_commit,ln_syn_amount_total,ln_syn_amount_term,ln_syn_amount_commit,ln_syn_outstanding_total,ln_perf_n_total,ln_perf_amt_total,ln_nperf_n_total,ln_nperf_amt_total,ln_trans_n_total,ln_trans_amt_total,ln_syn_deals_term_listed,ln_syn_deals_term_private,ln_syn_amt_term_listed,ln_syn_amt_term_private,ln_syn_avg_size,ln_perf_avg_size,post,transition,post_incl_trans,Q1,Q2,Q3,Q4,t_post
2005.Ⅳ,410.0,245.0,165.0,40253.0,13079.0,27174.0,342893.0,193564.0,149329.0,196.0,134.0,11.0,51.0,3231.0,2152.0,78.0,1001.0,345.0,343.0,2.0,0.0,3102.0,3038.0,64.0,0.0,52.0,193.0,82.0,83.0,5249.0,7830.0,17571.0,9603.0,86314.0,107250.0,118424.0,30905.0,126.0,1.0,2093.0,7.0,2005-10-01,2005,4,10,0.32491988174794423,0.6750801182520557,0.43308573274041684,0.5669142672595832,541.0,6333.0,0.00510204081632653,98.1780487804878,16.48469387755102,6.016157159698354,5.501258210544727,5.10594547390058,10.602939814230668,9.478763169489152,10.210015912784268,12.745173724127739,5.278114659230517,8.080546965824498,5.84354441703136,8.039802343736485,6.293419278846481,8.753529336516431,3.9512437185814275,5.262690188904886,8.5657928612523,8.965717788984849,4.586782654532314,2.802432306593981,0,0,0,0,0,0,1,0
2006.Ⅰ,1263.0,837.0,426.0,96564.0,41471.0,55093.0,374225.0,211866.0,162359.0,456.0,347.0,38.0,71.0,10181.0,4505.0,4200.0,1476.0,1339.0,1333.0,1.0,5.0,16205.0,16097.0,33.0,75.0,165.0,672.0,218.0,208.0,14146.0,27325.0,44592.0,10501.0,92920.0,118946.0,128513.0,33846.0,333.0,2.0,4187.0,40.0,2006-01-01,2006,1,11,0.42946646783480386,0.5705335321651961,0.3917194813802245,0.6082805186197755,1795.0,26386.0,0.0043859649122807015,76.45605700712589,22.32675438596491,7.141245122350491,6.729824070489475,6.054439346269371,11.477961279934133,10.63274966676691,10.916777945328233,12.832612499783437,6.1224928095143865,9.228278517107196,7.199678345691172,9.693075115575647,7.492760300922379,10.180588845443722,5.10594547390058,6.51025834052315,9.557187177595935,10.215557313044739,4.336716157583642,3.1057857075928097,0,0,0,1,0,0,0,0
2006.Ⅱ,349.0,236.0,113.0,55804.0,29755.0,26049.0,401832.0,235979.0,165853.0,202.0,183.0,3.0,16.0,2066.0,1770.0,17.0,279.0,138.0,138.0,0.0,0.0,1038.0,1038.0,0.0,0.0,75.0,161.0,72.0,41.0,7498.0,22257.0,22806.0,3243.0,101597.0,134382.0,131474.0,34379.0,177.0,0.0,1606.0,0.0,2006-04-01,2006,2,12,0.5332055049817217,0.46679449501827824,0.4569564905741524,0.5430435094258476,340.0,3104.0,0.0,159.8968481375358,10.227722772277227,5.855071922202427,5.4638318050256105,4.727387818712341,10.929600830387999,10.300752464078952,10.167734658728754,12.903789369804489,5.308267697401205,7.633369649679584,4.927253685157205,6.945051063725834,5.8289456176102075,8.04044688130311,4.31748811353631,5.081404364984463,8.922391597295857,10.010411844857636,5.074528908185571,2.325101952278379,0,0,0,0,1,0,0,0
2006.Ⅲ,1091.0,675.0,416.0,64204.0,33620.0,30584.0,418622.0,248224.0,170398.0,316.0,209.0,53.0,54.0,6117.0,4220.0,730.0,1167.0,690.0,674.0,15.0,1.0,5107.0,5038.0,2.0,67.0,177.0,498.0,193.0,223.0,12324.0,21296.0,23222.0,7362.0,105330.0,142894.0,134321.0,36077.0,202.0,6.0,3447.0,688.0,2006-07-01,2006,3,13,0.5236433867048782,0.4763566132951218,0.44635848233754905,0.553641517662451,1006.0,11224.0,0.0189873417721519,58.848762603116406,19.35759493670886,6.994849985833071,6.51471269087253,6.030685260261263,11.069820793033108,10.422876406962606,10.328232275376248,12.944723643752523,5.755742213586912,8.718827059242566,6.536691597591305,8.538367426647644,6.913737350659685,9.325809621782296,5.176149732573829,6.210600077024653,9.419303859716559,9.966274540634894,4.074970807200038,2.963084845655653,0,0,0,0,0,1,0,0
2006.Ⅳ,473.0,313.0,160.0,51907.0,31955.0,19952.0,433097.0,264967.0,168130.0,250.0,195.0,18.0,37.0,4643.0,3419.0,450.0,774.0,282.0,281.0,1.0,0.0,1082.0,1077.0,5.0,0.0,88.0,225.0,89.0,71.0,10731.0,21224.0,16175.0,3777.0,112502.0,152465.0,135046.0,33084.0,189.0,1.0,3347.0,50.0,2006-10-01,2006,4,14,0.6156202438977402,0.38437975610225983,0.48164987381278057,0.5183501261872194,532.0,5725.0,0.004,109.73995771670191,18.572,6.159095388491933,5.746203190540153,5.075173815233827,10.857208934818349,10.372083942084382,9.901084667919818,12.978717000371985,5.521460917862246,8.443115988019922,5.641907070938114,6.9865664594064265,6.2766434893416445,8.65259782842244,4.477336814478207,5.41610040220442,9.280892027927127,9.962887895817575,4.698113546326416,2.921655070157675,0,0,0,0,0,0,1,0
2007.Ⅰ,1170.0,739.0,431.0,102763.0,43894.0,58869.0,454435.0,268999.0,185436.0,737.0,582.0,15.0,140.0,14483.0,7393.0,1690.0,5400.0,1075.0,1074.0,0.0,1.0,11289.0,11236.0,0.0,53.0,181.0,558.0,213.0,218.0,14009.0,29885.0,50975.0,7894.0,112144.0,156855.0,148770.0,36666.0,557.0,1.0,7205.0,49.0,2007-01-01,2007,1,15,0.42713817229936846,0.5728618277006315,0.3676323190253301,0.6323676809746699,1812.0,25772.0,0.0013568521031207597,87.83162393162394,19.651289009497965,7.064759027791802,6.6052979209482015,6.066108090103747,11.54018064503668,10.689532915462804,10.983069915297433,13.02681016807072,6.602587892189336,9.580730826800856,6.980075940561763,9.331584079261546,7.502186486602924,10.157043910258533,5.198497031265826,6.324358962381311,9.547455259196115,10.305111961258355,4.475421617244878,2.97814293461152,0,0,0,1,0,0,0,0
2007.Ⅱ,292.0,178.0,114.0,41443.0,18009.0,23434.0,467412.0,280879.0,186533.0,200.0,159.0,9.0,32.0,3398.0,2219.0,485.0,694.0,160.0,160.0,0.0,0.0,1007.0,1007.0,0.0,0.0,54.0,124.0,74.0,40.0,3685.0,14324.0,20891.0,2543.0,116033.0,164846.0,151464.0,35069.0,156.0,0.0,2202.0,0.0,2007-04-01,2007,2,16,0.43454865719180563,0.5654513428081944,0.40699273701228195,0.5930072629877181,360.0,4405.0,0.0,141.92808219178082,16.99,5.676753802268282,5.181783550292085,4.736198448394496,10.632074268135453,9.798626911919953,10.061943238228102,13.054966374698274,5.298317366548036,8.130942302231878,5.075173815233827,6.914730892718563,5.886104031450156,8.39049553837028,3.9889840465642745,4.820281565605037,8.212025804623437,9.569691731118324,4.95532046586717,2.8326249356838407,0,0,0,0,1,0,0,0
2007.Ⅲ,918.0,546.0,372.0,63321.0,33000.0,30321.0,483176.0,293773.0,189403.0,633.0,445.0,16.0,172.0,13684.0,6168.0,673.0,6843.0,854.0,854.0,0.0,0.0,4343.0,4343.0,0.0,0.0,163.0,383.0,173.0,199.0,14199.0,18801.0,23165.0,7156.0,124198.0,169575.0,154666.0,34737.0,438.0,0.0,6128.0,0.0,2007-07-01,2007,3,17,0.5211541194864263,0.4788458805135737,0.4099271963487627,0.5900728036512374,1487.0,18027.0,0.0,68.97712418300654,21.617693522906794,6.822197390620491,6.302618975744905,5.918893854273146,11.055972306668727,10.404262840448617,10.319595820742773,13.08813625549503,6.450470422144176,9.523982546097495,6.74993119378857,8.376320632534823,7.304515946460155,9.799625913002037,5.093750200806762,5.948034989180646,9.560926818574357,9.841665338892785,4.233774916048237,3.073512123953319,0,0,0,0,0,1,0,0
2007.Ⅳ,365.0,229.0,136.0,47017.0,23064.0,23953.0,487445.0,294999.0,192446.0,357.0,315.0,14.0,28.0,6353.0,3804.0,1991.0,558.0,170.0,169.0,1.0,0.0,992.0,983.0,9.0,0.0,95.0,134.0,74.0,62.0,12141.0,10923.0,19896.0,4057.0,123391.0,171608.0,157928.0,34518.0,313.0,0.0,3793.0,0.0,2007-10-01,2007,4,18,0.49054597273326667,0.5094540272667333,0.3186081630048706,0.6813918369951294,527.0,7345.0,0.0,128.813698630137,17.795518207282914,5.8998973535824915,5.43372200355424,4.912654885736052,10.75826451742141,10.046028239318238,10.083848855954896,13.096932742542506,5.877735781779639,8.756682421266532,5.135798437050262,6.899723107284872,6.267200548541362,8.901775088607979,4.553876891600541,4.897839799950911,9.404343433543975,9.298625936843543,4.858367163838919,2.878946639486894,0,0,0,0,0,0,1,0
2008.Ⅰ,1068.0,635.0,433.0,109470.0,47376.0,62094.0,514489.0,315910.0,198579.0,837.0,610.0,22.0,205.0,15676.0,7708.0,653.0,7315.0,1181.0,1181.0,0.0,0.0,7593.0,7593.0,0.0,0.0,201.0,434.0,223.0,210.0,18270.0,29106.0,51798.0,10296.0,130953.0,184957.0,162790.0,35789.0,577.0,0.0,7678.0,0.0,2008-01-01,2008,1,19,0.4327761030419293,0.5672238969580707,0.3599342285557687,0.6400657714442313,2018.0,23269.0,0.0,102.5,18.72879330943847,6.97354301952014,6.453624998892692,6.07073772800249,11.603405818098603,10.765871050341373,11.036404644896228,13.150929454047123,6.729824070489475,9.659886159319521,7.074116816197362,8.934982049213234,7.609862200913554,10.054877281586947,5.303304908059076,6.073044534100405,9.813015649372053,10.278699617473272,4.629862798578463,2.930062088830047,0,0,0,1,0,0,0,0
2008.Ⅱ,299.0,182.0,117.0,48263.0,26715.0,21548.0,523629.0,331587.0,192042.0,454.0,386.0,29.0,39.0,6296.0,5007.0,351.0,938.0,290.0,290.0,0.0,0.0,1215.0,1215.0,0.0,0.0,58.0,124.0,72.0,45.0,6111.0,20604.0,15830.0,5718.0,134293.0,197294.0,156631.0,35411.0,386.0,0.0,5007.0,0.0,2008-04-01,2008,2,20,0.5535296189627665,0.44647038103723347,0.5453867351801587,0.45461326481984127,744.0,7511.0,0.0,161.41471571906354,13.86784140969163,5.700443573390687,5.204006687076795,4.762173934797756,10.784420500529187,10.192980484391871,9.978038283800425,13.168538697274826,6.118097198041348,8.74766979009724,5.66988092298052,7.102499355774649,6.612041034833092,8.924123891686012,4.060443010546419,4.820281565605037,8.717845704894916,9.933240510685476,5.083976927138501,2.629572592055891,0,0,0,0,1,0,0,0
2008.Ⅲ,788.0,446.0,342.0,67456.0,33766.0,33690.0,531507.0,333721.0,197786.0,665.0,532.0,20.0,113.0,10111.0,6186.0,727.0,3198.0,1291.0,1290.0,1.0,0.0,11537.0,11537.0,0.0,0.0,160.0,286.0,187.0,155.0,18537.0,15229.0,28005.0,5685.0,137353.0,196368.0,160310.0,37476.0,529.0,1.0,6048.0,16.0,2008-07-01,2008,3,21,0.500563330170778,0.499436669829222,0.3100391366223909,0.6899608633776091,1956.0,21648.0,0.0015037593984962407,85.60406091370558,15.204511278195488,6.669498089857879,6.100318952020064,5.834810737062605,11.11923081246098,10.427209658037139,10.424956336400598,13.183471646950226,6.499787040655854,9.2213792190914,7.1631723908466425,9.35331454092729,7.578656850594762,9.982668350410568,5.075173815233827,5.655991810819852,9.82752401372909,9.63095678385169,4.4497327226031,2.721592178435545,0,0,0,0,0,1,0,0
2008.Ⅳ,378.0,227.0,151.0,66456.0,31488.0,34968.0,559909.0,351015.0,208894.0,218.0,186.0,11.0,21.0,7248.0,5228.0,428.0,1592.0,216.0,216.0,0.0,0.0,946.0,946.0,0.0,0.0,126.0,101.0,91.0,60.0,20320.0,11168.0,27564.0,7404.0,150779.0,200236.0,171386.0,37508.0,184.0,0.0,4977.0,0.0,2008-10-01,2008,4,22,0.4738172625496569,0.526182737450343,0.2794631034067654,0.7205368965932346,434.0,8194.0,0.0,175.8095238095238,33.24770642201835,5.934894195619588,5.424950017481403,5.017279836814924,11.104295353518907,10.35736179985198,10.46218863654315,13.235529549506776,5.384495062789089,8.888480847722816,5.375278407684165,6.852242569051878,6.073044534100405,9.011157458106817,4.836281906951478,4.61512051684126,9.919360901692418,9.320807825002154,5.16940115789932,3.503985784933726,0,0,0,0,0,0,1,0
2009.Ⅰ,859.0,471.0,388.0,96218.0,45739.0,50479.0,571494.0,365210.0,206284.0,475.0,356.0,59.0,60.0,8260.0,4884.0,1150.0,2226.0,1538.0,1538.0,0.0,0.0,3232.0,3232.0,0.0,0.0,198.0,273.0,223.0,165.0,23445.0,22294.0,41978.0,8501.0,164047.0,201163.0,169362.0,36922.0,354.0,0.0,4837.0,0.0,2009-01-01,2009,1,23,0.4753684341807146,0.5246315658192854,0.32005445966451185,0.6799455403354882,2013.0,11492.0,0.0,112.011641443539,17.389473684210525,6.755768921984255,6.154858094016418,5.961005339623274,11.47437172933798,10.73070660463555,10.829312687193204,13.256009263474226,6.163314804034641,9.019179866515024,7.338238150065589,8.080856419640986,7.607381425639791,9.34940642009918,5.288267030694535,5.60947179518496,10.062412531523687,10.01207286294957,4.718602807353725,2.8558650624803823,0,0,0,1,0,0,0,0
2009.Ⅱ,268.0,170.0,98.0,44990.0,26752.0,18238.0,575812.0,374519.0,201293.0,204.0,171.0,9.0,24.0,4006.0,2918.0,426.0,662.0,108.0,108.0,0.0,0.0,545.0,545.0,0.0,0.0,91.0,79.0,65.0,33.0,10040.0,16712.0,14738.0,3500.0,170139.0,204380.0,165953.0,35340.0,171.0,0.0,2918.0,0.0,2009-04-01,2009,2,24,0.5946210268948655,0.4053789731051345,0.4492553900866859,0.5507446099133141,312.0,4551.0,0.0,167.87313432835822,19.637254901960784,5.5909869805108565,5.135798437050262,4.584967478670572,10.714195521835219,10.194364515884429,9.81126260849361,13.263536497512693,5.318119993844216,8.295548516225763,4.68213122712422,6.300785794663244,5.7430031878094825,8.423102268016642,4.51085950651685,4.3694478524670215,9.214332393245721,9.723882303236401,5.123208541324361,2.977428522381547,0,0,0,0,1,0,0,0
2009.Ⅲ,674.0,369.0,305.0,62357.0,30721.0,31636.0,585685.0,382771.0,202914.0,255.0,223.0,9.0,23.0,4381.0,3525.0,306.0,550.0,838.0,838.0,0.0,0.0,2330.0,2330.0,0.0,0.0,148.0,221.0,162.0,143.0,16672.0,14049.0,25018.0,6618.0,177046.0,205725.0,167912.0,35002.0,223.0,0.0,3525.0,0.0,2009-07-01,2009,3,25,0.49266321343233316,0.5073367865676668,0.3314303125551261,0.6685696874448739,1093.0,6711.0,0.0,92.51780415430267,17.180392156862744,6.513230110912307,5.910796644040527,5.720311776607412,11.040631214253112,10.332701738815134,10.362050991639308,13.28053738136918,5.541263545158426,8.385032287813898,6.731018100482083,7.753623546559746,6.996681488176539,8.811503250158239,4.997212273764115,5.3981627015177525,9.721485944553093,9.550306497851652,4.527401103340805,2.843768742655472,0,0,0,0,0,1,0,0
2009.Ⅳ,309.0,178.0,131.0,44394.0,18208.0,26186.0,579416.0,385955.0,193461.0,176.0,154.0,13.0,9.0,2445.0,1989.0,351.0,105.0,98.0,98.0,0.0,0.0,547.0,547.0,0.0,0.0,81.0,97.0,81.0,50.0,7169.0,11039.0,21399.0,4787.0,177995.0,207960.0,160956.0,32505.0,153.0,0.0,1976.0,0.0,2009-10-01,2009,4,26,0.41014551515970626,0.5898544848402937,0.3564896157138352,0.6435103842861648,274.0,2992.0,0.0,143.66990291262135,13.892045454545455,5.733341276897746,5.181783550292085,4.875197323201151,10.700859604153607,9.809616336926057,10.172980195787698,13.26977597871001,5.170483995038151,7.801800401908973,4.584967478670572,6.304448802421981,5.6131281063880705,8.003697339094368,4.394449154672439,4.574710978503383,8.877521453852872,9.309189736018352,4.967518327255861,2.6313164068708206,0,0,0,0,0,0,1,0
2010.Ⅰ,821.0,470.0,351.0,103504.0,44083.0,59421.0,577002.0,382219.0,194783.0,547.0,402.0,141.0,4.0,6492.0,6056.0,290.0,146.0,895.0,895.0,0.0,0.0,3476.0,3476.0,0.0,0.0,162.0,308.0,193.0,158.0,14935.0,29148.0,51229.0,8192.0,175609.0,206610.0,160239.0,34544.0,399.0,0.0,5976.0,0.0,2010-01-01,2010,1,27,0.42590624516926884,0.5740937548307312,0.36075900448291853,0.6392409955170815,1442.0,9968.0,0.0,126.07064555420219,11.86837294332724,6.710523109452428,6.152732694704104,5.860786223465865,11.547365538283767,10.693829499587176,10.992402978225373,13.265601011688736,6.304448802421981,8.778325928634482,6.796823718274855,8.153637486385282,7.273786317844895,9.207135241027235,5.087596335232384,5.730099782973574,9.61146273065021,10.280141578790174,4.836842428831338,2.4738771262125008,0,0,0,1,0,0,0,0
