日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）
日付,始値,高値,安値,終値,始値,高値,安値,終値,指数（2020年＝100）,1ドルにつき円,新規/総合/国内銀行,[国内企業物価指数] 総平均（前年比）
2017年11月,"22,144.92","23,382.15","21,972.34","22,724.96","1,775.99","1,844.05","1,737.72","1,792.08",99.1 ,112.29,0.756,3.5
2017年10月,"20,400.51","22,086.88","20,363.28","22,011.61","1,677.77","1,772.59","1,671.05","1,765.96",98.8 ,113.09,0.716,3.5
2017年9月,"19,733.57","20,481.27","19,239.52","20,356.28","1,624.37","1,679.83","1,578.66","1,674.75",98.8 ,112.46,0.663,3
2017年8月,"19,907.08","20,113.73","19,280.02","19,646.24","1,619.13","1,642.34","1,589.05","1,617.41",98.7 ,110.49,0.728,2.8
2017年7月,"20,056.32","20,200.88","19,856.65","19,925.18","1,613.65","1,636.53","1,602.47","1,618.61",98.5 ,110.63,0.705,2.5
2017年6月,"19,692.16","20,318.11","19,686.32","20,033.43","1,570.47","1,627.54","1,570.24","1,611.90",98.6 ,112.06,0.642,2.2
2017年5月,"19,154.03","19,998.49","19,144.62","19,650.57","1,531.45","1,590.70","1,530.31","1,568.37",98.7 ,110.96,0.719,2.1
2017年4月,"18,988.00","19,289.43","18,224.68","19,196.74","1,518.90","1,538.89","1,452.15","1,531.80",98.5 ,111.29,0.716,2.1
2017年3月,"19,226.94","19,668.01","18,909.26","18,909.26","1,543.11","1,578.51","1,512.60","1,512.60",98.1 ,111.8,0.662,1.4
2017年2月,"18,926.97","19,519.44","18,805.32","19,118.99","1,511.26","1,559.51","1,507.08","1,535.32",98.1 ,112.31,0.752,1
2017年1月,"19,298.68","19,615.40","18,650.33","19,041.34","1,533.04","1,558.45","1,495.03","1,521.67",98.2 ,113.53,0.7,0.5
2016年12月,"18,535.24","19,592.90","18,227.39","19,114.37","1,486.08","1,558.75","1,462.07","1,518.61",98.4 ,117.11,0.731,-1.2
2016年11月,"17,380.54","18,482.94","16,111.81","18,308.48","1,391.97","1,473.02","1,287.39","1,469.43",98.7 ,112.73,0.779,-2.3
2016年10月,"16,566.03","17,461.03","16,554.83","17,425.02","1,332.14","1,393.44","1,329.06","1,393.02",98.7 ,104.92,0.761,-2.7
2016年9月,"16,885.16","17,156.36","16,285.41","16,449.84","1,330.77","1,357.41","1,296.39","1,322.78",98.0 ,100.9,0.703,-3.3
2016年8月,"16,415.31","16,943.67","15,921.04","16,887.40","1,308.30","1,331.00","1,262.86","1,329.54",97.9 ,103.28,0.736,-3.8
2016年7月,"15,698.02","16,938.96","15,106.52","16,569.27","1,254.87","1,347.24","1,209.88","1,322.74",97.9 ,103.63,0.751,-4.2
2016年6月,"17,097.22","17,145.95","14,864.01","15,575.92","1,369.96","1,374.37","1,192.80","1,245.82",98.1 ,102.7,0.678,-4.5
